"gene","pct.1","pct.2","description","pct_treated_cells_minus_pct_ctrl"
"SRSF9",0.186,0.815,"serine and arginine rich splicing factor 9 [Source:HGNC Symbol;Acc:HGNC:10791]",0.629
"EIF4A2",0.353,0.963,"eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]",0.61
"YPEL3",0.333,0.926,"yippee like 3 [Source:HGNC Symbol;Acc:HGNC:18327]",0.593
"NDUFA4",0.304,0.889,"NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]",0.585
"LSM8",0.127,0.704,"LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]",0.577
"ALOX5",0.167,0.741,"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]",0.574
"SYF2",0.147,0.704,"SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]",0.5569999999999999
"FUS",0.225,0.778,"FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]",0.553
"SMAP2",0.265,0.815,"small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]",0.5499999999999999
"NOP53",0.382,0.926,"NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]",0.544
"TMA7",0.382,0.926,"translation machinery associated 7 homolog [Source:HGNC Symbol;Acc:HGNC:26932]",0.544
"ATP6V1G1",0.235,0.778,"ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]",0.543
"MPHOSPH8",0.167,0.704,"M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]",0.5369999999999999
"EIF2S3",0.206,0.741,"eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]",0.535
"PNISR",0.392,0.926,"PNN interacting serine and arginine rich protein [Source:HGNC Symbol;Acc:HGNC:21222]",0.534
"TRABD",0.284,0.815,"TraB domain containing [Source:HGNC Symbol;Acc:HGNC:28805]",0.5309999999999999
"ATP5PO",0.137,0.667,"ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850]",0.53
"PSME1",0.176,0.704,"proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]",0.528
"SRP9",0.176,0.704,"signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]",0.528
"LINC00926",0.363,0.889,"long intergenic non-protein coding RNA 926 [Source:HGNC Symbol;Acc:HGNC:27514]",0.526
"SARAF",0.363,0.889,"store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]",0.526
"IL10RA",0.216,0.741,"interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]",0.525
"TSC22D3",0.402,0.926,"TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]",0.524
"PTGES3",0.255,0.778,"prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]",0.523
"NEDD8",0.147,0.667,"NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]",0.52
"SNHG5",0.147,0.667,"small nucleolar RNA host gene 5 [Source:HGNC Symbol;Acc:HGNC:21026]",0.52
